code,category,long_description,short_description
V2511,,"Contact lens, gas permeable, toric, prism ballast, per lens",Cntct toric prism ballast
S0142,,"Colistimethate sodium, inhalation solution administered through dme, concentrated form, per mg",Colistimethate inh sol mg
J0770,,"Injection, colistimethate sodium, up to 150 mg",Colistimethate sodium inj
A6024,,"Collagen dressing wound filler, sterile, per 6 inches",Collagen dsg wound filler
G0428,,"Collagen meniscus implant procedure for filling meniscal defects (e.g., cmi, collagen scaffold, menaflex)",Collagen meniscus implant
S9056,,Coma stimulation per diem,Coma stimulation per diem
T2038,,"Community transition, waiver; per service",Comm trans waiver/service
E0167,,"Pail or pan for use with commode chair, replacement only",Commode chair pail or pan
A6205,,"Composite dressing, sterile, pad size more than 48 sq. in., with any size adhesive border, each dressing",Composite drsg > 48 sq in
A6512,,"Compression burn garment, not otherwise classified","Compres burn garment, noc"
A6444,,"Conforming bandage, non-elastic, knitted/woven, non-sterile, width greater than or equal to 5 inches, per yard","Conform band n/s w>=5""/yd"
A6206,,"Contact layer, sterile, 16 sq. in. or less, each dressing",Contact layer <= 16 sq in
V2502,,"Contact lens, pmma, bifocal, per lens",Contact lens pmma bifocal
X1   ,,"Continuous/broad services: for reporting services by clinicians, who provide the principal care for a patient, with no planned endpoint of the relationship; services in this category represent comprehensive care, dealing with the entire scope of patient problems, either directly or in a care coordination role; reporting clinician service examples include, but are not limited to: primary care, and clinicians providing comprehensive care to patients in addition to specialty care",Continuous/broad services
E0350,,Control unit for electronic bowel irrigation/evacuation system,Control unit bowel system
V2785,,"Processing, preserving and transporting corneal tissue",Corneal tissue processing
J0833,,"Injection, cosyntropin, not otherwise specified, 0.25 mg",Cosyntropin injection nos
L0112,,"Cranial cervical orthosis, congenital torticollis type, with or without soft interface material, adjustable range of motion joint, custom fabricated",Cranial cervical orthosis
J7632,,"Cromolyn sodium, inhalation solution, compounded product, administered through dme, unit dose form, per 10 milligrams",Cromolyn sodium comp unit
E0113,,"Crutch underarm, wood, adjustable or fixed, each, with pad, tip and handgrip",Crutch underarm each wood
E0112,,"Crutches underarm, wood, adjustable or fixed, pair, with pads, tips and handgrips",Crutch underarm pair wood
P9012,,"Cryoprecipitate, each unit",Cryoprecipitate each unit
J9100,,"Injection, cytarabine, 100 mg",Cytarabine hcl 100 mg inj
T2020,,"Day habilitation, waiver; per diem",Day habil waiver per diem
S2348,,"Decompression procedure, percutaneous, of nucleus pulposus of intervertebral disc, using radiofrequency energy, single or multiple levels, lumbar",Decompress disc rf lumbar
J0895,,"Injection, deferoxamine mesylate, 500 mg",Deferoxamine mesylate inj
E1615,,"Deionizer water purification system, for hemodialysis",Deionizer h2o puri system
J1100,,"Injection, dexamethasone sodium phosphate, 1 mg",Dexamethasone sodium phos
J1190,,"Injection, dexrazoxane hydrochloride, per 250 mg",Dexrazoxane hcl injection
G0109,,"Diabetes outpatient self-management training services, group session (2 or more), per 30 minutes",Diab manage trn ind/group
A9275,,"Home glucose disposable monitor, includes test strips",Disp home glucose monitor
KG   ,,Dmepos item subject to dmepos competitive bidding program number 1,Dmepos comp bid prgm no 1
KK   ,,Dmepos item subject to dmepos competitive bidding program number 2,Dmepos comp bid prgm no 2
KU   ,,Dmepos item subject to dmepos competitive bidding program number 3,Dmepos comp bid prgm no 3
KW   ,,Dmepos item subject to dmepos competitive bidding program number 4,Dmepos comp bid prgm no 4
KY   ,,Dmepos item subject to dmepos competitive bidding program number 5,Dmepos comp bid prgm no 5
KL   ,,Dmepos item delivered via mail,Dmepos mailorder comp bid
S3840,,Dna analysis for germline mutations of the ret proto-oncogene for susceptibility to multiple endocrine neoplasia type 2,Dna analysis ret-oncogene
G9267,,Documentation of patient with one or more complications or mortality within 30 days,Doc comp or mort w in 30d
G9268,,Documentation of patient with one or more complications within 90 days,Doc comp or mort w in 90d
G8542,,"Functional outcome assessment using a standardized tool is documented; no functional deficiencies identified, care plan not required",Doc funct no deficiencies
G8896,,"Documentation of medical reason(s) for not prescribing oral aspirin or other antithrombotic therapy (e.g., patient documented to be low risk or patient with terminal illness or treatment of hypertension with standard treatment goals is not clinically appropriate, or for whom risk of aspirin or other antithrombotic therapy exceeds potential benefits such as for individuals whose blood pressure is poorly controlled)",Doc med reas no antihtrom
G9381,,"Documentation of medical reason(s) for not offering assistance with end of life issues (e.g., patient in hospice care, patient in terminal phase) during the measurement period",Doc med reas no offer eol
G9660,,"Documentation of medical reason(s) for a colonoscopy performed on a patient greater than 85 years of age (e.g., last colonoscopy incomplete, last colonoscopy had inadequate prep, iron deficiency anemia, lower gastrointestinal bleeding, crohn's disease (i.e., regional enteritis), familial history of adenomatous polyposis, lynch syndrome (i.e., hereditary non-polyposis colorectal cancer), inflammatory bowel disease, ulcerative colitis, abnormal finding of gastrointestinal tract, or changes in bowel habits)",Doc med rsn scope pt >85y
G8734,,"Elder maltreatment screen documented as negative, no follow-up required",Doc neg elder mal no plan
G8726,,"Clinician has documented reason for not performing fasting lipid profile (e.g., patient declined, other patient reasons)",Doc reas no lipid profile
G8849,,"Documentation of reason(s) for not prescribing positive airway pressure therapy (e.g., patient unable to tolerate, alternative therapies use, patient declined, financial, insurance coverage)",Doc reas no pos air press
G9619,,"Documentation of reason(s) for not screening for uterine malignancy (e.g., prior hysterectomy)",Doc rsn no scr uter malig
J9000,,"Injection, doxorubicin hydrochloride, 10 mg",Doxorubicin hcl injection
A8   ,,Dressing for eight wounds,Dressing for eight wounds
A7   ,,Dressing for seven wounds,Dressing for seven wounds
A3   ,,Dressing for three wounds,Dressing for three wounds
E2394,,"Power wheelchair accessory, drive wheel excludes tire, any size, replacement only, each",Drive wheel excludes tire
Q0480,,"Driver for use with pneumatic ventricular assist device, replacement only","Driver pneumatic vad, rep"
G0480,,"Drug test(s), definitive, utilizing (1) drug identification methods able to identify individual drugs and distinguish between structural isomers (but not necessarily stereoisomers), including, but not limited to gc/ms (any type, single or tandem) and lc/ms (any type, single or tandem and excluding immunoassays (e.g., ia, eia, elisa, emit, fpia) and enzymatic methods (e.g., alcohol dehydrogenase)), (2) stable isotope or other universally recognized internal standards in all samples (e.g., to control for matrix effects, interferences and variations in signal strength), and (3) method or drug-specific calibration and matrix-matched quality control material (e.g., to control for instrument variations and mass spectral drift); qualitative or quantitative, all sources, includes specimen validity testing, per day; 1-7 drug class(es), including metabolite(s) if performed",Drug test def 1-7 classes
G0483,,"Drug test(s), definitive, utilizing (1) drug identification methods able to identify individual drugs and distinguish between structural isomers (but not necessarily stereoisomers), including, but not limited to gc/ms (any type, single or tandem) and lc/ms (any type, single or tandem and excluding immunoassays (e.g., ia, eia, elisa, emit, fpia) and enzymatic methods (e.g., alcohol dehydrogenase)), (2) stable isotope or other universally recognized internal standards in all samples (e.g., to control for matrix effects, interferences and variations in signal strength), and (3) method or drug-specific calibration and matrix-matched quality control material (e.g., to control for instrument variations and mass spectral drift); qualitative or quantitative, all sources, includes specimen validity testing, per day; 22 or more drug class(es), including metabolite(s) if performed",Drug test def 22+ classes
G0479,,"Drug test(s), presumptive, any number of drug classes; any number of devices or procedures by instrumented chemistry analyzers utilizing immunoassay, enzyme assay, tof, maldi, ldtd, desi, dart, ghpc, gc mass spectrometry), includes sample validation when performed, per date of service",Drug test presump not opt
G0477,,"Drug test(s), presumptive, any number of drug classes; any number of devices or procedures, (e.g., immunoassay) capable of being read by direct optical observation only (e.g., dipsticks, cups, cards, cartridges), includes sample validation when performed, per date of service",Drug test presump optical
A9700,,"Supply of injectable contrast material for use in echocardiography, per study",Echocardiography contrast
B4153,,"Enteral formula, nutritionally complete, hydrolyzed proteins (amino acids and peptide chain), includes fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit",Ef hydrolyzed/amino acids
B4159,,"Enteral formula, for pediatrics, nutritionally complete soy based with intact nutrients, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber and/or iron, administered through an enteral feeding tube, 100 calories = 1 unit",Ef ped complete soy based
L5857,,"Addition to lower extremity prosthesis, endoskeletal knee-shin system, microprocessor control feature, swing phase only, includes electronic sensor(s), any type",Elec knee-shin swing only
E0748,,"Osteogenesis stimulator, electrical, non-invasive, spinal applications",Elec osteogen stim spinal
E2311,,"Power wheelchair accessory, electronic connection between wheelchair controller and two or more power seating system motors, including all related electronics, indicator feature, mechanical function selection switch, and fixed mounting hardware",Electro connect btw 2 sys
C1884,,Embolization protective system,Embolization protect syst
Q0492,,"Emergency power supply cable for use with electric ventricular assist device, replacement only","Emr pwr cbl elec vad, rep"
G9823,,Endometrial sampling or hysteroscopy with biopsy and results documented,Endo smpl/hyst bx res doc
X4   ,,"Episodic/focused services: for reporting services by clinicians who provide focused care on particular types of treatment limited to a defined period and circumstance; the patient has a problem, acute or chronic, that will be treated with surgery, radiation, or some other type of generally time-limited intervention; reporting clinician service examples include but are not limited to, the orthopedic surgeon performing a knee replacement and seeing the patient through the postoperative period",Episodic/focused services
G9522,,"Total number of emergency department visits and inpatient hospitalizations equal to or greater than two in the past 12 months or patient not screened, reason not given",Er/ip hosp =/>2 in 12 mos
G9014,,Esrd demo expanded bundle including venous access and related services,Esrd demo bundle-level ii
G9156,,Evaluation for wheelchair requiring face to face visit with physician,Evaluation for wheelchair
A4331,,"Extension drainage tubing, any type, any length, with connector/adaptor, for use with urinary leg bag or urostomy pouch, each",Extension drainage tubing
A9277,,"Transmitter; external, for use with interstitial continuous glucose monitoring system","External transmitter, cgm"
A0424,,"Extra ambulance attendant, ground (als or bls) or air (fixed or rotary winged); (requires medical review)",Extra ambulance attendant
S4018,,"Frozen embryo transfer procedure cancelled before transfer, case rate",F emb trns canc case rate
J7201,,"Injection, factor ix, fc fusion protein, (recombinant), alprolix, 1 i.u.",Factor ix alprolix recomb
J7193,,"Factor ix (antihemophilic factor, purified, non-recombinant) per i.u.",Factor ix non-recombinant
J7195,,"Injection, factor ix (antihemophilic factor, recombinant) per iu, not otherwise specified",Factor ix recombinant nos
J7188,,"Injection, factor viii (antihemophilic factor, recombinant), (obizur), per i.u.",Factor viii recomb obizur
LS   ,,Fda-monitored intraocular lens implant,Fda-monitored iol implant
A4328,,"Female external urinary collection device; pouch, each",Fem urinary collect pouch
S2402,,"Repair, congenital cystic adenomatoid malformation in the fetus, procedure performed in utero",Fetal surg cong cyst malf
S2403,,"Repair, extralobar pulmonary sequestration in the fetus, procedure performed in utero",Fetal surg pulmon sequest
K0020,,"Fixed, adjustable height armrest, pair",Fixed adjust armrest pair
E0640,,"Patient lift, fixed system, includes all components/accessories",Fixed patient lift system
L6610,,"Upper extremity additions, flexible metal hinge, pair",Flexible metal hinge pair
J9185,,"Injection, fludarabine phosphate, 50 mg",Fludarabine phosphate inj
G8540,,"Functional outcome assessment not documented as being performed, documentation the patient is not eligible for a functional outcome assessment using a standardized tool at the time of the encounter",Foa not doc as being perf
E2218,,"Manual wheelchair accessory, foam propulsion tire, any size, each",Foam propulsion tire each
E1236,,"Wheelchair, pediatric size, folding, adjustable, with seating system",Folding ped wc adjustable
P9023,,"Plasma, pooled multiple donor, solvent/detergent treated, frozen, each unit","Frozen plasma, pooled, sd"
A4510,,"Surgical stockings full length, each",Full length surg stocking
J1457,,"Injection, gallium nitrate, 1 mg",Gallium nitrate injection
A6221,,"Gauze, non-impregnated, sterile, pad size more than 48 sq. in., with any size adhesive border, each dressing",Gauze > 48 sq in w/border
E0185,,"Gel or gel-like pressure pad for mattress, standard mattress length and width",Gel pressure mattress pad
J7328,,"Hyaluronan or derivative, gelsyn-3, for intra-articular injection, 0.1 mg",Gelsyn-3 injection 0.1 mg
J9201,,"Injection, gemcitabine hydrochloride, 200 mg",Gemcitabine hcl injection
J9300,,"Injection, gemtuzumab ozogamicin, 5 mg",Gemtuzumab ozogamicin inj
C1822,,"Generator, neurostimulator (implantable), high frequency, with rechargeable battery and charging system","Gen, neuro, hf, rechg bat"
S3854,,Gene expression profiling panel for use in the management of breast cancer treatment,Gene profile panel breast
S3853,,Genetic testing for myotonic muscular dystrophy,Gene test myo musclr dyst
A4255,,"Platforms for home blood glucose monitor, 50 per box",Glucose monitor platforms
J9202,,"Goserelin acetate implant, per 3.6 mg",Goserelin acetate implant
Q0166,,"Granisetron hydrochloride, 1 mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an iv anti-emetic at the time of chemotherapy treatment, not to exceed a 24 hour dosage regimen",Granisetron hcl 1 mg oral
J1626,,"Injection, granisetron hydrochloride, 100 mcg",Granisetron hcl injection
T2012,,"Habilitation, educational; waiver, per diem","Habil ed waiver, per diem"
T2016,,"Habilitation, residential, waiver; per diem",Habil res waiver per diem
L0861,,"Addition to halo procedure, replacement liner/interface material",Halo repl liner/interface
J1631,,"Injection, haloperidol decanoate, per 50 mg",Haloperidol decanoate inj
V2600,,Hand held low vision aids and other nonspectacle mounted aids,Hand held low vision aids
S9970,,"Health club membership, annual",Health club membership yr
E0149,,"Walker, heavy duty, wheeled, rigid or folding, any type",Heavy duty wheeled walker
G8714,,Hemodialysis treatment performed exactly three times per week for > 90 days,Hemodialysis 3 times week
L3912,,"Hand finger orthosis (hfo), flexion glove with elastic finger control, prefabricated, off-the-shelf",Hfo flexion glove pre ots
G0164,,"Skilled services of a licensed nurse (lpn or rn), in the training and/or education of a patient or family member, in the home health or hospice setting, each 15 minutes",Hhc lis nurse train ea 15
G0152,,"Services performed by a qualified occupational therapist in the home health or hospice setting, each 15 minutes","Hhcp-serv of ot,ea 15 min"
G0151,,"Services performed by a qualified physical therapist in the home health or hospice setting, each 15 minutes","Hhcp-serv of pt,ea 15 min"
G0155,,"Services of clinical social worker in home health or hospice settings, each 15 minutes","Hhcp-svs of csw,ea 15 min"
K0004,,"High strength, lightweight wheelchair",High strength ltwt whlchr
L5966,,"Addition, endoskeletal system, hip disarticulation, flexible protective outer surface covering system",Hip flexible cover system
S9494,,"Home infusion therapy, antibiotic, antiviral, or antifungal therapy; administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem (do not use this code with home infusion codes for hourly dosing schedules s9497-s9504)",Hit antibiotic total diem
S9339,,"Home therapy; peritoneal dialysis, administrative services, professional pharmacy services, care coordination and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem",Hit periton dialysis diem
G8500,,All quality actions for the applicable measures in the hiv/aids measures group have been performed for this patient,Hiv meas qual act perform
S9212,,"Home management of postpartum hypertension, includes administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem (do not use this code with any home infusion per diem code)",Hm postpar hyper per diem
A7503,,"Filter holder or filter cap, reusable, for use in a tracheostoma heat and moisture exchange system, each",Hmes filter holder or cap
S0271,,"Physician management of patient home care, hospice monthly case rate (per 30 days)",Home hospice case 30 days
S5109,,"Home care training to home care client, per session",Homecare train pt session
S0255,,"Hospice referral visit (advising patient and family of care options) performed by nurse, social worker, or other designated staff",Hospice refer visit nonmd
T2042,,Hospice routine home care; per diem,Hospice routine home care
G0476,,"Infectious agent detection by nucleic acid (dna or rna); human papillomavirus (hpv), high-risk types (e.g., 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 68) for cervical cancer screening, must be performed in addition to pap test",Hpv combo assay ca screen
M1067,,Hospice services for patient provided any time during the measurement period,Hspc pt prv time meam per
J3473,,"Injection, hyaluronidase, recombinant, 1 usp unit",Hyaluronidase recombinant
J0360,,"Injection, hydralazine hcl, up to 20 mg",Hydralazine hcl injection
A6232,,"Gauze, impregnated, hydrogel, for direct wound contact, sterile, pad size greater than 16 sq. in., but less than or equal to 48 sq. in., each dressing",Hydrogel dsg>16<=48 sq in
J3410,,"Injection, hydroxyzine hcl, up to 25 mg",Hydroxyzine hcl injection
G0462,,"Immunohistochemistry or immunocytochemistry, per specimen; each additional single or multiplex antibody stain (list separately in addition to code for primary procedure)",Immunohisto/cyto chem add
A4648,,"Tissue marker, implantable, any type, each",Implantable tissue marker
V5210,,"Hearing aid, bicros, in the ear",In ear bicros hearing aid
G9552,,Incidental thyroid nodule < 1.0 cm noted in report,Inc thyr node <1.0 in rpt
A4337,,"Incontinence supply, rectal insert, any type, each",Incontinent rectal insert
A4338,,"Indwelling catheter; foley type, two-way latex with coating (teflon, silicone, silicone elastomer, or hydrophilic, etc.), each",Indwelling catheter latex
G8899,,I intend to report the inflammatory bowel disease (ibd) measures group,Inflammatory bowel dis mg
G9395,,Patient with an initial phq-9 score greater than nine who did not achieve remission at twelve months as demonstrated by a twelve month (+/- 30 days) phq-9 score greater than or equal to five,Ini phq9 >9 no remiss >=5
G0245,,"Initial physician evaluation and management of a diabetic patient with diabetic sensory neuropathy resulting in a loss of protective sensation (lops) which must include: (1) the diagnosis of lops, (2) a patient history, (3) a physical examination that consists of at least the following elements: (a) visual inspection of the forefoot, hindfoot and toe web spaces, (b) evaluation of a protective sensation, (c) evaluation of foot structure and biomechanics, (d) evaluation of vascular status and skin integrity, and (e) evaluation and recommendation of footwear and (4) patient education",Initial foot exam pt lops
J1094,,"Injection, dexamethasone acetate, 1 mg",Inj dexamethasone acetate
J1250,,"Injection, dobutamine hydrochloride, per 250 mg",Inj dobutamine hcl/250 mg
J0670,,"Injection, mepivacaine hydrochloride, per 10 ml",Inj mepivacaine hcl/10 ml
J2274,,"Injection, morphine sulfate, preservative-free for epidural or intrathecal use, 10 mg",Inj morphine pf epid ithc
Q5106,,"Injection, epoetin alfa, biosimilar, (retacrit) (for non-esrd use), 1000 units",Inj retacrit non-esrd use
C9290,,"Injection, bupivacaine liposome, 1 mg","Inj, bupivacaine liposome"
C9248,,"Injection, clevidipine butyrate, 1 mg","Inj, clevidipine butyrate"
J9178,,"Injection, epirubicin hcl, 2 mg","Inj, epirubicin hcl, 2 mg"
J9400,,"Injection, ziv-aflibercept, 1 mg","Inj, ziv-aflibercept, 1mg"
J3245,,"Injection, tildrakizumab, 1 mg","Inj., tildrakizumab, 1 mg"
S4981,,Insertion of levonorgestrel-releasing intrauterine system,Insert levonorgestrel ius
E2383,,"Power wheelchair accessory, insert for pneumatic drive wheel tire (removable), any type, any size, replacement only, each","Insert, pneum wheel drive"
S5570,,"Insulin delivery device, disposable pen (including insulin); 1.5 ml size",Insulin dispos pen 1.5 ml
A0090,,"Non-emergency transportation, per mile - vehicle provided by individual (family member, self, neighbor) with vested interest",Interest escort in non er
A4353,,"Intermittent urinary catheter, with insertion supplies",Intermittent urinary cath
J1452,,"Injection, fomivirsen sodium, intraocular, 1.65 mg",Intraocular fomivirsen na
J7649,,"Isoetharine hcl, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per milligram",Isoetharine non-comp unit
S4017,,"Incomplete cycle, treatment cancelled prior to stimulation, case rate",Ivf canc a stim case rate
J1599,,"Injection, immune globulin, intravenous, non-lyophilized (e.g., liquid), not otherwise specified, 500 mg","Ivig non-lyophilized, nos"
L2132,,"Kafo, fracture orthosis, femoral fracture cast orthosis, soft, prefabricated, includes fitting and adjustment",Kafo femoral fx cast soft
Q4165,,"Keramatrix, per square centimeter","Keramatrix, per square cm"
Q4158,,"Kerecis omega3, per square centimeter","Kerecis omega3, per sq cm"
L2810,,"Addition to lower extremity orthosis, knee control, condylar pad",Knee control condylar pad
L2795,,"Addition to lower extremity orthosis, knee control, full kneecap",Knee control full kneecap
L1845,,"Knee orthosis, double upright, thigh and calf, with adjustable flexion and extension joint (unicentric or polycentric), medial-lateral and rotation control, with or without varus/valgus adjustment, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",Ko double upright pre cst
K0902,,"Knee orthosis (ko), double upright, thigh and calf, with adjustable flexion and extension joint (unicentric or polycentric), medial-lateral and rotation control, with or without varus/valgus adjustment, prefabricated, off-the-shelf",Ko double upright pre ots
L1843,,"Knee orthosis, single upright, thigh and calf, with adjustable flexion and extension joint (unicentric or polycentric), medial-lateral and rotation control, with or without varus/valgus adjustment, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",Ko single upright pre cst
K0901,,"Knee orthosis (ko), single upright, thigh and calf, with adjustable flexion and extension joint (unicentric or polycentric), medial-lateral and rotation control, with or without varus/valgus adjustment, prefabricated, off-the-shelf",Ko single upright pre ots
T4541,,"Incontinence product, disposable underpad, large, each",Large disposable underpad
K0041,,"Large size footplate, each",Large size footplate each
C1896,,"Lead, cardioverter-defibrillator, other than endocardial single or dual coil (implantable)","Lead, aicd, non sing/dual"
LM   ,,Left main coronary artery,Left main coronary artery
V2318,,"Aniseikonic lens, trifocal",Lens aniseikonic trifocal
V2321,,"Lenticular lens, per lens, trifocal","Lenticular lens, trifocal"
J7612,,"Levalbuterol, inhalation solution, fda-approved final product, non-compounded, administered through dme, concentrated form, 0.5 mg",Levalbuterol non-comp con
GA   ,,"Waiver of liability statement issued as required by payer policy, individual case",Liability waiver ind case
L2184,,"Addition to lower extremity fracture orthosis, limited motion knee joint",Limited motion knee joint
G8769,,"Lipid profile not performed, reason not given",Lipid profile not perform
S8262,,"Mandibular orthopedic repositioning device, each",Mandib ortho repos device
S0273,,"Physician visit at member's home, outside of a capitation arrangement",Md home visit outside cap
G0179,,"Physician re-certification for medicare-covered home health services under a home health plan of care (patient not present), including contacts with home health agency and review of reports of patient status required by physicians to affirm the initial implementation of the plan of care that meets patient's needs, per re-certification period",Md recertification hha pt
L5855,,"Addition, endoskeletal system, hip disarticulation, mechanical hip extension assist",Mech hip extension assist
S0281,,"Medical home program, comprehensive care coordination and planning, maintenance of plan","Medical home, maintenance"
J3535,,Drug administered through a metered dose inhaler,Metered dose inhaler drug
H0032,,Mental health service plan development by non-physician,Mh svc plan dev by non-md
E2312,,"Power wheelchair accessory, hand or chin control interface, mini-proportional remote joystick, proportional, including fixed mounting hardware",Mini-prop remote joystick
J2265,,"Injection, minocycline hydrochloride, 1 mg",Minocycline hydrochloride
G0270,,"Medical nutrition therapy; reassessment and subsequent intervention(s) following second referral in same year for change in diagnosis, medical condition or treatment regimen (including additional hours needed for renal disease), individual, face to face with the patient, each 15 minutes",Mnt subs tx for change dx
QS   ,,Monitored anesthesia care service,Monitored anesthesia care
G8   ,,"Monitored anesthesia care (mac) for deep complex, complicated, or markedly invasive surgical procedure",Monitored anesthesia care
C8911,,"Magnetic resonance angiography without contrast followed by with contrast, chest (excluding myocardium)","Mra w/o fol w/cont, chest"
C8904,,"Magnetic resonance imaging without contrast, breast; unilateral","Mri w/o cont, breast, uni"
L5986,,"All lower extremity prostheses, multi-axial rotation unit ('mcp' or equal)",Multi-axial rotation unit
E2228,,"Manual wheelchair accessory, wheel braking system and lock, complete, each","Mwc acc, wheelchair brake"
Q4155,,"Neoxflo or clarixflo, 1 mg",Neoxflo or clarixflo 1 mg
G9868,,"Receipt and analysis of remote, asynchronous images for dermatologic and/or ophthalmologic evaluation, for use under the next generation aco model, less than 10 minutes",Next gen aco model <10min
G9870,,"Receipt and analysis of remote, asynchronous images for dermatologic and/or ophthalmologic evaluation, for use under the next generation aco model, 20 or more minutes",Next gen aco model >20min
G9638,,"Final reports without documentation of one or more dose reduction techniques (e.g., automated exposure control, adjustment of the ma and/or kv according to patient size, use of iterative reconstruction technique)",No doc >1 dose reduc tech
G9350,,Ct scan of the paranasal sinuses not ordered at the time of diagnosis or received within 28 days after date of diagnosis,No doc sinus ct 28d or dx
G9472,,"Within the past 2 years, central dual-energy x-ray absorptiometry (dxa) not ordered and documented, no review of systems and no medication history or pharmacologic therapy (other than minerals/vitamins) for osteoporosis prescribed",No dxa no med hx no rv sx
G9563,,Patients who did not have a follow-up evaluation conducted at least every three months during opioid therapy,No f/u eval q3mo opiod tx
G9854,,Patient was not admitted to the icu in the last 30 days of life,No icu stay last 30d life
G9636,,Health-related quality of life not assessed with tool during at least two visits or quality of life score declined,No life asst 2x same/decr
G8882,,"Sentinel lymph node biopsy procedure not performed, reason not given",No sent lymph node biopsy
G9665,,Patients who are not currently statin therapy users or did not receive an order (prescription) for statin therapy,No statin/no order statin
G8628,,"Surgical procedure not performed within 30 days following cataract surgery for major complications (e.g., retained nuclear fragments, endophthalmitis, dislocated or wrong power iol, retinal detachment, or wound dehiscence)",No surg proc w/in 30 days
G9928,,"Warfarin or another fda-approved anticoagulant not prescribed, reason not given",No warf or fda drug presc
A9284,,"Spirometer, non-electronic, includes all accessories",Non-electronic spirometer
E2375,,"Power wheelchair accessory, non-expandable controller, including all related electronics and mounting hardware, replacement only",Non-expandable controller
H1010,,"Non-medical family planning education, per session",Nonmed family planning ed
E0371,,"Nonpowered advanced pressure reducing overlay for mattress, standard mattress length and width",Nonpower mattress overlay
G9230,,"Chlamydia, gonorrhea, and syphilis not screened, reason not given",Norsn for gc chl syp test
G9329,,"Dicom format image data available to non-affiliated external healthcare facilities or entities on a secure, media free, reciprocally searchable basis with patient authorization for at least a 12-month period after the study not documented in final report, reason not given",Norsn no dicom format doc
G9303,,"Operative report does not identify the prosthetic implant specifications including the prosthetic implant manufacturer, the brand name of the prosthetic implant and the size of each prosthetic implant, reason not given",Norsn no pros info op rpt
G9314,,"Amoxicillin, with or without clavulanate, not prescribed as first line antibiotic at the time of diagnosis, reason not given",Norsn not first line amox
J2354,,"Injection, octreotide, non-depot form for subcutaneous or intravenous injection, 25 mcg","Octreotide inj, non-depot"
G9099,,"Oncology; disease status; esophageal cancer, limited to adenocarcinoma or squamous cell carcinoma as predominant cell type; extent of disease unknown, staging in progress, or not listed (for use in a medicare-approved demonstration project)",Onc dx esophageal unknown
G9116,,"Oncology; disease status; ovarian cancer, limited to epithelial cancer; evidence of disease progression, or recurrence, and/or platinum resistance (for use in a medicare-approved demonstration project)",Onc dx ovarian recurrence
G9068,,"Oncology; disease status; limited to small cell and combined small cell/non-small cell; extent of disease initially established as limited with no evidence of disease progression, recurrence, or metastases (for use in a medicare-approved demonstration project)",Onc dx sclc/nsclc limited
G9055,,"Oncology; primary focus of visit; other, unspecified service not otherwise listed (for use in a medicare-approved demonstration project)",Onc visit unspecified nos
G9051,,"Oncology; primary focus of visit; treatment decision-making after disease is staged or restaged, discussion of treatment options, supervising/coordinating active cancer directed therapy or managing consequences of cancer directed therapy (for use in a medicare-approved demonstration project)",Oncology tx decision-mgmt
J2405,,"Injection, ondansetron hydrochloride, per 1 mg",Ondansetron hcl injection
A7040,,One way chest drain valve,One way chest drain valve
G0176,,"Activity therapy, such as music, dance, art or play therapies not for recreation, related to the care and treatment of patient's disabling mental health problems, per session (45 minutes or more)",Opps/php;activity therapy
A4363,,"Ostomy clamp, any type, replacement only, each","Ostomy clamp, replacement"
G9478,,"Services performed by other qualified therapist in the hospice setting, each 15 minutes",Othe therapist at hospice
G9012,,Other specified case management service not elsewhere classified,Other specified case mgmt
E1391,,"Oxygen concentrator, dual delivery port, capable of delivering 85 percent or greater oxygen concentration at the prescribed flow rate, each","Oxygen concentrator, dual"
E1353,,Regulator,Oxygen supplies regulator
J2410,,"Injection, oxymorphone hcl, up to 1 mg",Oxymorphone hcl injection
J2460,,"Injection, oxytetracycline hcl, up to 50 mg",Oxytetracycline injection
B4180,,"Parenteral nutrition solution; carbohydrates (dextrose), greater than 50% (500 ml = 1 unit) - home mix",Parenteral sol carb > 50%
L8046,,"Partial facial prosthesis, provided by a non-physician",Partial facial prosthesis
G0129,,"Occupational therapy services requiring the skills of a qualified occupational therapist, furnished as a component of a partial hospitalization treatment program, per session (45 minutes or more)",Partial hosp prog service
G9786,,Pathology report diagnosing cutaneous basal cell carcinoma or squamous cell carcinoma (to include in situ disease) was not sent from the pathologist/dermatopathologist to the biopsying clinician for review within 7 days from the time when the tissue specimen was received by the pathologist,Pathology report not sent
A4406,,"Ostomy skin barrier, pectin-based, paste, per ounce",Pectin based ostomy paste
