PRODUCTID,PRODUCTNDC,PRODUCTTYPENAME,NONPROPRIETARYNAME,DOSAGEFORMNAME,STARTMARKETINGDATE,ENDMARKETINGDATE,MARKETINGCATEGORYNAME,LABELERNAME,SUBSTANCENAME,ACTIVE_NUMERATOR_STRENGTH,ACTIVE_INGRED_UNIT,DEASCHEDULE
46016-1642_4a11a9ae-5aed-3e40-e054-00144ff8d46c,46016-1642,BULK INGREDIENT,Efinaconazole,POWDER,20170306,,BULK INGREDIENT,Procos S.p.A.,EFINACONAZOLE,50,kg/50kg,
46016-2541_24e8079b-3516-4182-e054-00144ff88e88,46016-2541,BULK INGREDIENT,FELBAMATE MICRONIZED,POWDER,20041001,,BULK INGREDIENT,PROCOS S.p.A.,FELBAMATE,50,kg/50kg,
46016-2542_24e7ecb6-1da4-3259-e054-00144ff8d46c,46016-2542,BULK INGREDIENT,FELBAMATE,POWDER,20041001,,BULK INGREDIENT,PROCOS S.p.A.,FELBAMATE,50,kg/50kg,
46016-2912_8066d043-16d2-4587-bce1-df568296e263,46016-2912,BULK INGREDIENT,GUANFACINE HYDROCHLORIDE,POWDER,20130701,,BULK INGREDIENT,PROCOS S.p.A.,GUANFACINE HYDROCHLORIDE,50,kg/50kg,
46016-3671_232143e3-de5e-48ae-be2b-e20a8cade7a9,46016-3671,BULK INGREDIENT,LURASIDONE HYDROCHLORIDE,POWDER,20131129,,BULK INGREDIENT,PROCOS S.p.A.,LURASIDONE HYDROCHLORIDE,1,kg/kg,
46016-3672_22c6af1e-a117-4b39-b447-225f2756c115,46016-3672,BULK INGREDIENT,LURASIDONE HYDROCHLORIDE,POWDER,20131129,,BULK INGREDIENT,PROCOS S.p.A.,LURASIDONE HYDROCHLORIDE,1,kg/kg,
46016-4111_26e1394c-f8ad-4405-e054-00144ff8d46c,46016-4111,BULK INGREDIENT,MEMANTINE HYDROCHLORIDE,POWDER,20120713,,BULK INGREDIENT,PROCOS S.p.A.,MEMANTINE HYDROCHLORIDE,50,kg/50kg,
46016-4112_26df48e5-8580-0165-e054-00144ff8d46c,46016-4112,BULK INGREDIENT,MEMANTINE HYDROCHLORIDE,POWDER,20120713,,BULK INGREDIENT,PROCOS S.p.A.,MEMANTINE HYDROCHLORIDE,50,kg/50kg,
46016-5041_2189d381-1a8a-739f-e054-00144ff8d46c,46016-5041,BULK INGREDIENT,DALFAMPRIDINE MICRONIZED,POWDER,20111107,,BULK INGREDIENT,PROCOS S.p.A.,DALFAMPRIDINE,50,kg/50kg,
46016-5042_218916f2-56fc-5667-e054-00144ff8d46c,46016-5042,BULK INGREDIENT,DALFAMPRIDINE,POWDER,20110701,,BULK INGREDIENT,PROCOS S.p.A.,DALFAMPRIDINE,50,kg/50kg,
46016-5112_31d4f4f8-085f-4496-8f5b-490d8a96cbf9,46016-5112,BULK INGREDIENT,CHLOPHEDIANOL HYDROCHLORIDE,POWDER,20060201,,BULK INGREDIENT,PROCOS S.p.A.,CHLOPHEDIANOL HYDROCHLORIDE,50,kg/50kg,
46016-5310_2318eccf-bed9-5e57-e054-00144ff88e88,46016-5310,BULK INGREDIENT,Pirfenidone,POWDER,20151027,,BULK INGREDIENT,PROCOS S.p.A.,PIRFENIDONE,50,kg/50kg,
46016-5371_e0b0672b-0da5-4eed-95e4-eb04b71b499e,46016-5371,BULK INGREDIENT,CARPROFEN,POWDER,20100915,,BULK INGREDIENT,PROCOS S.p.A.,CARPROFEN,50,kg/50kg,
46016-5526_b5ffbdcb-fa9f-47bb-8d07-e85ee0947360,46016-5526,BULK INGREDIENT,PRAZIQUANTEL,POWDER,20030901,,BULK INGREDIENT,PROCOS S.p.A.,PRAZIQUANTEL,50,kg/50kg,
46016-5562_219a91ef-5864-29ad-e054-00144ff88e88,46016-5562,BULK INGREDIENT,Alverine Citrate,POWDER,20151008,,BULK INGREDIENT,Procos S.p.A.,ALVERINE CITRATE,50,kg/50kg,
46016-6400_f2ca5271-7f1a-4637-905e-04fe9119debd,46016-6400,BULK INGREDIENT,Ethacridine Lactate Monohydrate,POWDER,20150304,,BULK INGREDIENT,PROCOS S.p.A.,ETHACRIDINE LACTATE,50,kg/50kg,
46016-9470_59a22129-f621-8935-e053-2a91aa0a4624,46016-9470,BULK INGREDIENT,E-6005,POWDER,20170920,,BULK INGREDIENT,Procos S.p.A.,E-6005,1,kg/kg,
46016-9522_352ae38e-0171-0412-e054-00144ff88e88,46016-9522,BULK INGREDIENT,Chlorzoxazone,POWDER,20160613,,BULK INGREDIENT,PROCOS S.p.A.,CHLORZOXAZONE,50,kg/50kg,
46032-001_51ac06cb-c6ac-4af5-9e66-101b2717b9eb,46032-001,BULK INGREDIENT,Psyllium Husk,POWDER,20111117,,BULK INGREDIENT,Balisana Isebgol,PLANTAGO SEED,25,kg/25kg,
46052-0196_b152c59b-7caf-4121-a871-5afc376f5b6d,46052-0196,BULK INGREDIENT,Betaine Anhydrous,POWDER,19970101,,BULK INGREDIENT,AMINO GmbH,BETAINE,1,kg/kg,
46082-0161_c5a6aa89-1b1d-4811-8115-b18e1ffe7535,46082-0161,BULK INGREDIENT,ANTHRALIN,POWDER,20170207,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,AGON PHARMA PRIVATE LIMITED,ANTHRALIN,1,kg/kg,
46097-102_5921c104-39fb-94cd-e053-2991aa0a67b0,46097-102,BULK INGREDIENT,nitroglycerin in blend of polymer adhesives solution,LIQUID,19950404,,DRUG FOR FURTHER PROCESSING,Dynamit Nobel GmbH Explosivstoff- und Systemtechnik,NITROGLYCERIN,20,kg/100kg,
46144-100_7778a932-e6ac-410f-a358-fb98cad00f7b,46144-100,BULK INGREDIENT,Human Chorionic Gonadotropin,POWDER,20100101,,BULK INGREDIENT,"API Solutions, Inc.",HUMAN CHORIONIC GONADOTROPIN,1,g/g,
46144-101_4e3b6217-7408-1b25-e054-00144ff88e88,46144-101,BULK INGREDIENT,Progesterone,POWDER,20170428,,DRUG FOR FURTHER PROCESSING,"API Solutions, Inc.",PROGESTERONE,1,g/g,
46144-101_5d98feec-80ab-4f79-a113-55529806563c,46144-101,BULK INGREDIENT,Progesterone,POWDER,20110622,,DRUG FOR FURTHER PROCESSING,"API Solutions, Inc.",PROGESTERONE,1,g/g,
46144-102_b81d7773-67a7-4c76-8625-7925dbf26116,46144-102,BULK INGREDIENT,Baclofen,POWDER,20121119,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",BACLOFEN,1,g/g,
46144-103_8ee554da-9ccc-4094-9329-6eb7bc977c00,46144-103,BULK INGREDIENT,Diclofenac Sodium,POWDER,20121119,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",DICLOFENAC SODIUM,1,g/g,
46144-104_6475503b-7140-4dee-b51a-73939da4a807,46144-104,BULK INGREDIENT,Gabapentin,POWDER,20121119,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",GABAPENTIN,1,g/g,
46144-105_7c85936e-95f8-4d1f-906a-c0eb97dd741e,46144-105,BULK INGREDIENT,"Medroxyprogesterone Acetate, Micronized",POWDER,20121204,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",MEDROXYPROGESTERONE ACETATE,1,g/g,
46144-106_7fbc3cdf-a712-4bb1-91a5-b1818dd9e2b5,46144-106,BULK INGREDIENT,Oxytocin,POWDER,20121217,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",OXYTOCIN,1,g/g,
46144-107_ad20a8fa-bef8-4907-bae7-1d26d32c8a4f,46144-107,BULK INGREDIENT,Aldosterone,POWDER,20130325,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",ALDOSTERONE,1,g/g,
46144-108_f21fd1b4-0752-4898-abdb-75e6837dc0b9,46144-108,BULK INGREDIENT,SERTRALINE HYDROCHLORIDE,POWDER,20130306,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",SERTRALINE HYDROCHLORIDE,1,g/g,
46144-110_000eae87-b6e0-4d96-b2bd-b1b7cd906058,46144-110,BULK INGREDIENT,Levomefolate Calcium,POWDER,20130325,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",LEVOMEFOLATE CALCIUM,1,g/g,
46144-112_65b27d73-39f8-4df6-a6b5-6933808d46be,46144-112,BULK INGREDIENT,Mupirocin,POWDER,20130502,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",MUPIROCIN,1,g/g,
46144-113_d9f59bc4-9ce3-4467-bd70-54f3f314fc97,46144-113,BULK INGREDIENT,Finasteride,POWDER,20130515,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",FINASTERIDE,1,g/g,
46144-114_639e169a-08e4-48a7-821b-9946412aa78e,46144-114,BULK INGREDIENT,Sumatriptan Succinate,POWDER,20130516,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",SUMATRIPTAN SUCCINATE,1,g/g,
46144-115_94526830-9b58-4fbc-9c3c-8318df8140e5,46144-115,BULK INGREDIENT,CLONIDINE HYDROCHLORIDE,POWDER,20130612,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",CLONIDINE HYDROCHLORIDE,1,g/g,
46144-116_67952d69-dd11-4914-823c-8ebe4b514e6a,46144-116,BULK INGREDIENT,Nifedipine,POWDER,20130711,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",NIFEDIPINE,1,g/g,
46144-117_41fe258c-844d-4fbc-b83d-508b121487c2,46144-117,BULK INGREDIENT,Piroxicam,POWDER,20130711,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",PIROXICAM,1,g/g,
46144-118_fa9e7ebe-d4f9-4e13-ad0c-27b6784120f3,46144-118,BULK INGREDIENT,Celecoxib,POWDER,20130808,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",CELECOXIB,1,g/g,
46144-119_d726cdf5-1faf-4cd0-9976-2ae7c9e1d2b3,46144-119,BULK INGREDIENT,Flurbiprofen,POWDER,20130808,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",FLURBIPROFEN,1,g/g,
46144-120_c2c86591-0312-4211-bc28-a9dcf2850d73,46144-120,BULK INGREDIENT,Collagenase,POWDER,20130815,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",COLLAGENASE CLOSTRIDIUM HISTOLYTICUM,1,g/g,
46144-121_6798e9b3-9fc3-4fa4-8361-27509481136e,46144-121,BULK INGREDIENT,LUTEIN,POWDER,20130903,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",LUTEIN,1,g/g,
46144-122_bd9cf9e5-0a93-4cf4-a993-4ebc6b0ce042,46144-122,BULK INGREDIENT,ZEAXANTHIN,POWDER,20130903,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",ZEAXANTHIN,1,g/g,
46144-123_2fc7060b-9281-40b5-9dd7-d6aa0d176a9b,46144-123,BULK INGREDIENT,CORTISONE ACETATE,POWDER,20130903,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",CORTISONE ACETATE,1,g/g,
46144-124_8fb204b3-9475-4330-b8d8-21e6c4017262,46144-124,BULK INGREDIENT,FLUTICASONE PROPIONATE,POWDER,20130911,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",FLUTICASONE PROPIONATE,1,g/g,
46144-125_3c838623-b88a-406e-8a63-97f3e76a2416,46144-125,BULK INGREDIENT,LIDOCAINE HYDROCHLORIDE,POWDER,20130918,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",LIDOCAINE HYDROCHLORIDE,1,g/g,
46144-126_44cc274f-ba8c-44f6-88fd-65d158aa32a3,46144-126,BULK INGREDIENT,CLOMIPHENE CITRATE,POWDER,20131021,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",CLOMIPHENE CITRATE,1,g/g,
46144-127_162544f6-45ed-4266-bdb4-e8db62e721a3,46144-127,BULK INGREDIENT,DAPOXETINE HCL,POWDER,20131021,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",DAPOXETINE HYDROCHLORIDE,1,g/g,
46144-128_97a5684b-aa59-4bd4-b9dc-fa820c628cac,46144-128,BULK INGREDIENT,Human Chorionic Gonadotropin,POWDER,20160604,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",HUMAN CHORIONIC GONADOTROPIN,1,g/g,
46144-129_10ac2b56-7e88-4e0d-8bd4-0fc7486e129a,46144-129,BULK INGREDIENT,IMIQUIMOD,POWDER,20131113,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",IMIQUIMOD,1,g/g,
46144-130_349532ce-c729-44bc-89e6-1c12cf55636f,46144-130,BULK INGREDIENT,DIINDOLYLMETHANE,POWDER,20131119,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.","3,3'-DIINDOLYLMETHANE",1,g/g,
46144-131_09413471-51d6-49d9-bbe7-43bfea0f6b05,46144-131,BULK INGREDIENT,MOMETASONE FUROATE,POWDER,20131119,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",MOMETASONE FUROATE,1,g/g,
46144-132_bf34a6dd-0032-4846-8d6f-d95a901fd184,46144-132,BULK INGREDIENT,LEVOFLOXACIN HEMIHYDRATE,POWDER,20131119,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",LEVOFLOXACIN,1,g/g,
46144-133_6d4fb0ef-69e4-4ec4-b47d-dd653eaba5f6,46144-133,BULK INGREDIENT,TOBRAMYCIN SULFATE,POWDER,20131119,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",TOBRAMYCIN SULFATE,1,g/g,
46144-133_aae367f9-b4dd-4258-88cc-eb9f83e85d42,46144-133,BULK INGREDIENT,TOBRAMYCIN SULFATE,POWDER,20131119,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",TOBRAMYCIN SULFATE,1,g/g,
46144-134_b1b2bbe4-f47b-40d1-9f40-3addd5c60420,46144-134,BULK INGREDIENT,VANCOMYCIN HYDROCHLORIDE,POWDER,20131119,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",VANCOMYCIN HYDROCHLORIDE,1,g/g,
46144-135_fb0f20a5-5b4c-4e20-a0a4-1693b273de6b,46144-135,BULK INGREDIENT,ISOTRETINOIN,POWDER,20131223,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",ISOTRETINOIN,1,g/g,
46144-138_cc27c94c-faf3-4fa4-a7ae-5972ed373066,46144-138,BULK INGREDIENT,AMINOLEVULINIC ACID HYDROCHLORIDE,POWDER,20160101,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",AMINOLEVULINIC ACID HYDROCHLORIDE,1,g/g,
46144-139_4013e926-7c7a-4523-80d2-8a87f813d94d,46144-139,BULK INGREDIENT,VORICONAZOLE,POWDER,20140401,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",VORICONAZOLE,1,g/g,
46144-140_68ae293b-342e-4259-9652-9dd921a47a82,46144-140,BULK INGREDIENT,LIOTHYRONINE,POWDER,20140408,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",LIOTHYRONINE,1,g/g,
46144-141_f1795db1-a72b-41d3-aaf7-615b77de9cf0,46144-141,BULK INGREDIENT,BUPIVACAINE HYDROCHLORIDE,POWDER,20140625,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",BUPIVACAINE HYDROCHLORIDE,1,g/g,
46144-142_4d5e89b3-cfc0-6b1f-e054-00144ff88e88,46144-142,BULK INGREDIENT,2-Methoxyestradiol,POWDER,20170414,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",2-METHOXYESTRADIOL,1,g/g,
46144-142_d00fb7f8-057b-4f33-a4d5-4237e59cd787,46144-142,BULK INGREDIENT,2-Methoxyestradiol,POWDER,20140701,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",2-METHOXYESTRADIOL,1,g/g,
46144-143_d095e71c-d6d3-4acb-b6e5-7bd555785c35,46144-143,BULK INGREDIENT,Amantadine HCL,POWDER,20140701,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",AMANTADINE HYDROCHLORIDE,1,g/g,
46144-144_2b9e0525-cd90-4364-abdd-7eb4debff2b6,46144-144,BULK INGREDIENT,Human Chorionic Gonadotropin,POWDER,20140815,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",HUMAN CHORIONIC GONADOTROPIN,1,[iU]/[iU],
46144-145_0ee5f3c2-23c0-4525-b69c-2ebefbbd7162,46144-145,BULK INGREDIENT,CYCLOBENZAPRINE HCL,POWDER,20140909,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",CYCLOBENZAPRINE HYDROCHLORIDE,1,g/g,
46144-147_57ede132-ff6c-40c7-86b8-1d96265c434e,46144-147,BULK INGREDIENT,DULOXETINE HCL,POWDER,20140917,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",DULOXETINE HYDROCHLORIDE,1,g/g,
46144-148_dd7d9612-02e7-450c-b748-de794905f0d7,46144-148,BULK INGREDIENT,BETAHISTINE HCL,POWDER,20140919,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",BETAHISTINE HYDROCHLORIDE,1,g/g,
46144-149_d98006e6-6a7d-4589-a22e-326ba08d740e,46144-149,BULK INGREDIENT,Hyaluronidase,POWDER,20141001,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",HYALURONIDASE,1,g/g,
46144-150_29a4cb72-7ef2-44c9-8025-6ed0d90fc4a2,46144-150,BULK INGREDIENT,ATORVASTATIN CALCIUM TRIHYDRATE,POWDER,20141101,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",ATORVASTATIN CALCIUM TRIHYDRATE,1,g/g,
46144-151_68cd0043-4c08-4651-9f6c-ab77905e08c0,46144-151,BULK INGREDIENT,FENOFIBRATE,POWDER,20141101,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",FENOFIBRATE,1,g/g,
46144-152_eff1836d-0a76-4aa9-9e4e-406e7e369191,46144-152,BULK INGREDIENT,SULFACETAMIDE SODIUM,POWDER,20141111,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",SULFACETAMIDE SODIUM,1,g/g,
46144-153_50e01650-a595-4d00-8479-b534708ae815,46144-153,BULK INGREDIENT,HYDROQUINONE,POWDER,20141111,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",HYDROQUINONE,1,g/g,
46144-154_2886d789-2ab9-4aa7-ba68-310158d554f1,46144-154,BULK INGREDIENT,LEVOTHYROXINE SODIUM,POWDER,20141101,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",LEVOTHYROXINE SODIUM,1,g/g,
46144-155_1ea4d687-433f-4469-800a-969ca4c9a6b0,46144-155,BULK INGREDIENT,SEROTONIN HYDROCHLORIDE,POWDER,20141101,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",SEROTONIN HYDROCHLORIDE,1,g/g,
46144-156_272bb11f-b964-424c-86ee-f5cbc521b2f3,46144-156,BULK INGREDIENT,LATANOPROST,POWDER,20141101,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",LATANOPROST,1,g/g,
46144-157_1f8c85c7-a6d8-4ae6-9a6b-e4d337c1a141,46144-157,BULK INGREDIENT,Mitomycin C,POWDER,20150101,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",MITOMYCIN,1,g/g,
46144-157_8a40bd0e-104b-4867-8420-d6f1c372f1fb,46144-157,BULK INGREDIENT,Mitomycin C,POWDER,20150101,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",MITOMYCIN,1,g/g,
46144-158_8e29ce64-07d4-441f-b469-e11228d934fc,46144-158,BULK INGREDIENT,CHLORAMBUCIL,POWDER,20150101,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",CHLORAMBUCIL,1,g/g,
46144-159_6e84a2c8-3da9-48b0-b58f-3ec3c91494d3,46144-159,BULK INGREDIENT,AZELAIC ACID,POWDER,20150101,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",AZELAIC ACID,1,g/g,
46144-160_0c7b8c54-e406-45ae-a24f-c237a97da1d3,46144-160,BULK INGREDIENT,Procarbazine HCL,POWDER,20150209,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",PROCARBAZINE HYDROCHLORIDE,1,g/g,
46144-161_f63a696a-247e-486d-b7ad-7b46e909f0c3,46144-161,BULK INGREDIENT,RESVERATROL,POWDER,20150310,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",RESVERATROL,1,g/g,
46144-166_510d7084-3f6a-4011-81de-7c17a5da5485,46144-166,BULK INGREDIENT,Gluconolactone,POWDER,20150713,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",GLUCONOLACTONE,1,g/g,
46144-167_94474433-8eae-4867-92fb-0ceec9d220f6,46144-167,BULK INGREDIENT,Lomustine,POWDER,20150715,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",LOMUSTINE,1,g/g,
46144-168_a5656ff9-86ae-411d-b550-4e3fba0f93a6,46144-168,BULK INGREDIENT,Rasagiline Mesylate,POWDER,20150812,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",RASAGILINE MESYLATE,1,g/g,
46144-169_599de87f-4392-4e61-ae7d-0e239dd07d0c,46144-169,BULK INGREDIENT,Flumazenil,POWDER,20150812,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",FLUMAZENIL,1,g/g,
46144-200_066e0883-868d-4a75-a8bf-733ee228056a,46144-200,BULK INGREDIENT,Anastrozole,POWDER,20100101,,BULK INGREDIENT,"API Solutions, Inc.",ANASTROZOLE,1,g/g,
46144-201_c6a58772-d5b6-4790-a390-71ef55d8882f,46144-201,BULK INGREDIENT,4-Aminopyridine,POWDER,20110920,,DRUG FOR FURTHER PROCESSING,"API Solutions, Inc.",DALFAMPRIDINE,1,kg/kg,
46144-300_e35efce0-2b77-4210-8b13-59fdf032ab58,46144-300,BULK INGREDIENT,Estriol Micronized,POWDER,20100101,,BULK INGREDIENT,"API Solutions, Inc.",ESTRIOL,1,g/g,
46144-301_85a42ca8-6291-44ea-a7cb-c4551d87b40c,46144-301,BULK INGREDIENT,Triclosan,POWDER,20120615,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"A.P.I. Solutions, Inc.",TRICLOSAN,1,kg/kg,
46144-302_33bced9d-6714-4e91-b86b-300449726942,46144-302,BULK INGREDIENT,"RETINAL, ALL-TRANS",POWDER,20160101,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.","RETINAL, ALL-TRANS",1,g/g,
46144-303_16f16985-a71e-4e7a-bb6c-95548cd8b471,46144-303,BULK INGREDIENT,MANGANESE CHLORIDE,POWDER,20160101,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",MANGANESE CHLORIDE,1,g/g,
46144-304_481aff67-84cd-44ff-b22c-3a55b95bc2d5,46144-304,BULK INGREDIENT,Tetrahydrobiopterin HCL,POWDER,20160101,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",SAPROPTERIN DIHYDROCHLORIDE,1,g/g,
46144-305_583bcf1c-7184-4b95-a6ae-ea3edb78cd35,46144-305,BULK INGREDIENT,ATROPINE SULFATE,POWDER,20160101,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",ATROPINE SULFATE,1,g/g,
46144-306_1c98947b-cd86-4111-b116-b228dcb3012e,46144-306,BULK INGREDIENT,VASOACTIVE INTESTINAL PEPTIDE,POWDER,20160101,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",VASOACTIVE INTESTINAL PEPTIDE,1,g/g,
46144-307_7c70850b-d9f1-4e7b-9f2a-9725b73df882,46144-307,BULK INGREDIENT,Monobenzone,POWDER,20160101,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",MONOBENZONE,1,g/g,
46144-308_177f5250-743e-4c20-a2fa-a74dd9f83edd,46144-308,BULK INGREDIENT,Methylcobalamin,POWDER,20160301,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"A.P.I. Solutions, Inc.","2,3-DIMERCAPTO-1-PROPANESULFONIC ACID",1,g/g,
46144-309_95a26f92-d71a-4eb0-9561-07547d328f2d,46144-309,BULK INGREDIENT,PYRIDOXAL PHOSPHATE ANHYDROUS,POWDER,20160101,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",PYRIDOXAL PHOSPHATE ANHYDROUS,1,g/g,
46144-310_7904207f-40aa-4dcf-9b83-e01dfaad668c,46144-310,BULK INGREDIENT,BROMFENAC SODIUM,POWDER,20160101,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",BROMFENAC SODIUM,1,g/g,
46144-311_f8f53679-11f4-445d-b3e8-88fc768a51d9,46144-311,BULK INGREDIENT,DOXYCYCLINE,POWDER,20160101,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",DOXYCYCLINE,1,g/g,
46144-312_70261f98-6547-45fc-8c76-e9a8d29f71bf,46144-312,BULK INGREDIENT,FLIBANSERIN,POWDER,20160101,,BULK INGREDIENT FOR HUMAN PRESCRIPTION COMPOUNDING,"API Solutions, Inc.",FLIBANSERIN,1,g/g,
